time_stamp,sensor_index,humidity,temperature,PM2.5_ATM_ug/m3,PM25_Source,NO2_Density,NO2_Source,DateTime_UTC,DateTime,Temp_C,Rain_mm,Pressure_hPa,WindSpeed_kmh,WindDir_sin,WindDir_cos,Hour,Month,DayOfWeek,Is_Weekend,Hour_sin,Hour_cos,Month_sin,Month_cos,DOW_sin,DOW_cos,Lag_1h,Lag_2h,Lag_3h,Lag_6h,Lag_12h,Lag_24h,Lag_48h,Roll3h_mean,Roll3h_std,Roll6h_mean,Roll6h_std,Roll24h_mean,Roll24h_std,AQI,Split
1645495200,12451,100.0,82.0,57.1,PurpleAir_Ground,2.665165811775041e-05,Satellite_Observed,2022-02-22 02:00:00,2022-02-22 07:30:00,21.4,0.0,955.9,6.2,0.9335804264972017,-0.35836794954530027,2,2,1,0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,60.2,40.0,40.0,39.5,74.0,43.1,37.7,46.73333333333332,11.662475437630443,43.93333333333334,8.071100709734411,45.37500000000001,11.611248294499621,152,train
1645498800,12451,100.0,84.0,62.4,PurpleAir_Ground,2.665165811775041e-05,Satellite_Observed,2022-02-22 03:00:00,2022-02-22 08:30:00,24.6,0.0,957.2,3.2,0.8910065241883678,0.4539904997395468,3,2,1,0,0.7071067811865476,0.7071067811865476,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,57.1,60.2,40.0,43.1,70.1,38.1,26.1,52.433333333333316,10.878572210236662,46.866666666666674,9.249792790472418,45.958333333333336,11.84137611959842,155,train
1645502400,12451,100.0,88.0,75.4,PurpleAir_Ground,2.665165811775041e-05,Satellite_Observed,2022-02-22 04:00:00,2022-02-22 09:30:00,27.1,0.0,958.2,3.1,-0.35836794954530077,0.9335804264972015,4,2,1,0,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,62.4,57.1,60.2,40.8,61.4,37.2,24.1,59.899999999999984,2.662705391138858,50.08333333333334,10.88860260394674,46.97083333333334,12.174437909234076,161,train
1645506000,12451,90.0,92.0,72.2,PurpleAir_Ground,2.665165811775041e-05,Satellite_Observed,2022-02-22 05:00:00,2022-02-22 10:30:00,28.6,0.0,958.4,5.9,-0.6156614753256582,0.788010753606722,5,2,1,0,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,75.4,62.4,57.1,40.0,49.6,33.4,21.6,64.96666666666665,9.41612092813879,55.85,13.769785764492106,48.5625,13.287680220872739,160,train
1645509600,12451,63.0,94.0,39.7,PurpleAir_Ground,2.665165811775041e-05,Satellite_Observed,2022-02-22 06:00:00,2022-02-22 11:30:00,29.8,0.0,957.9,8.1,-0.529919264233205,0.8480480961564258,6,2,1,0,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,72.2,75.4,62.4,40.0,48.4,36.0,23.2,69.99999999999999,6.773477688750436,61.216666666666676,12.580368304094936,50.17916666666667,13.716127580228324,111,train
1645513200,12451,59.0,96.0,33.7,PurpleAir_Ground,2.665165811775041e-05,Satellite_Observed,2022-02-22 07:00:00,2022-02-22 12:30:00,30.6,0.0,957.0,9.0,-0.4848096202463369,0.8746197071393959,7,2,1,0,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,39.7,72.2,75.4,60.2,44.1,34.4,26.1,62.43333333333333,19.752552577662794,61.16666666666668,12.681745410891848,50.333333333333336,13.569840813736304,96,train
1645516800,12451,60.0,96.0,32.6,PurpleAir_Ground,2.665165811775041e-05,Satellite_Observed,2022-02-22 08:00:00,2022-02-22 13:30:00,31.1,0.0,956.0,9.0,-0.3907311284892739,0.9205048534524403,8,2,1,0,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,33.7,39.7,72.2,57.1,39.5,34.0,23.6,48.533333333333324,20.714326765148144,56.75000000000001,16.97395063030435,50.304166666666674,13.606279853408646,94,train
1645520400,12451,64.0,96.0,38.0,PurpleAir_Ground,2.665165811775041e-05,Satellite_Observed,2022-02-22 09:00:00,2022-02-22 14:30:00,31.5,0.0,955.1,9.6,-0.22495105434386534,0.9743700647852351,9,2,1,0,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,32.6,33.7,39.7,62.4,43.1,34.4,24.8,35.33333333333332,3.821430796616927,52.666666666666686,19.614450455383036,50.24583333333334,13.68200910642894,107,train
1645524000,12451,66.0,96.0,38.2,PurpleAir_Ground,2.665165811775041e-05,Satellite_Observed,2022-02-22 10:00:00,2022-02-22 15:30:00,31.3,0.0,954.3,10.6,0.17364817766693033,0.984807753012208,10,2,1,0,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,38.0,32.6,33.7,75.4,40.8,36.2,31.8,34.76666666666666,2.853652630109745,48.600000000000016,19.721967447493896,50.395833333333336,13.519502150811462,108,train
1645527600,12451,66.0,95.0,42.5,PurpleAir_Ground,2.665165811775041e-05,Satellite_Observed,2022-02-22 11:00:00,2022-02-22 16:30:00,30.5,0.0,954.4,12.3,0.35836794954530027,0.9335804264972017,11,2,1,0,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,38.2,38.0,32.6,72.2,40.0,41.2,49.7,36.26666666666666,3.1770006819848686,42.40000000000001,14.85974427774611,50.479166666666664,13.434089641384425,118,train
