time_stamp,sensor_index,humidity,temperature,pm2.5_atm,datetime,pm2.5_corrected,aqi
1773846000,173211,62,86,11.7,2026-03-18 15:00:00,6.619,36.77222222222222
1773813600,173211,42,100,13.4,2026-03-18 06:00:00,9.2148,51.213885931558934
1776085200,173211,70,90,33.9,2026-04-13 13:00:00,17.798599999999997,67.20651711026616
1778576400,173211,65,91,18.0,2026-05-12 09:00:00,9.73,52.17376425855513
1778565600,173211,62,94,12.6,2026-05-12 06:00:00,7.099600000000001,39.44222222222223
1780858800,173211,83,86,9.2,2026-06-07 19:00:00,3.5115999999999996,19.508888888888887
1780794000,173211,86,86,10.3,2026-06-07 01:00:00,3.8458000000000006,21.36555555555556
1780790400,173211,87,85,3.6,2026-06-07 00:00:00,0.18359999999999932,1.0199999999999962
1774677600,173211,47,98,13.2,2026-03-28 06:00:00,8.686,48.25555555555555
1774706400,173211,60,92,21.2,2026-03-28 14:00:00,11.860800000000001,56.143695817490496
1777561200,173211,73,88,1.8,2026-04-30 15:00:00,0.4039999999999999,2.244444444444444
1777514400,173211,70,89,8.5,2026-04-30 02:00:00,4.235,23.52777777777778
1778968800,173211,85,84,10.8,2026-05-16 22:00:00,4.1972000000000005,23.31777777777778
1778896800,173211,86,85,13.5,2026-05-16 02:00:00,5.554600000000001,30.85888888888889
1778925600,173211,77,90,10.6,2026-05-16 10:00:00,4.7656,26.475555555555555
1781542800,173211,80,89,7.0,2026-06-15 17:00:00,2.59,14.388888888888888
1780686000,173211,86,85,3.9,2026-06-05 19:00:00,0.42820000000000036,2.378888888888891
1771347600,173211,65,83,24.7,2026-02-17 17:00:00,13.3078,58.83962737642586
1771506000,173211,58,91,25.4,2026-02-19 13:00:00,14.272399999999998,60.63679087452471
1771473600,173211,54,91,20.8,2026-02-19 04:00:00,12.1536,56.68921673003803
1775775600,173211,70,87,28.8,2026-04-09 23:00:00,15.075199999999999,62.132501901140685
1775714400,173211,49,98,6.3,2026-04-09 06:00:00,4.8326,26.84777777777778
1776441600,173211,68,90,15.0,2026-04-17 16:00:00,7.8748,43.748888888888885
1775552400,173211,50,99,9.0,2026-04-07 09:00:00,6.19,34.38888888888889
1778187600,173211,72,87,11.1,2026-05-07 21:00:00,5.4546,30.303333333333335
1779022800,173211,71,89,14.1,2026-05-17 13:00:00,7.141,39.672222222222224
1779040800,173211,84,85,13.5,2026-05-17 18:00:00,5.723400000000001,31.79666666666667
1780549200,173211,75,89,2.2,2026-06-04 05:00:00,0.4488000000000003,2.493333333333335
1776283200,173211,68,89,5.3,2026-04-15 20:00:00,2.695,14.972222222222221
1776222000,173211,62,94,6.9,2026-04-15 03:00:00,4.0558000000000005,22.532222222222224
1769886000,173211,66,86,11.6,2026-01-31 19:00:00,6.228,34.599999999999994
1771704000,173211,78,82,8.1,2026-02-21 20:00:00,3.3461999999999996,18.589999999999996
1771714800,173211,78,82,5.7,2026-02-21 23:00:00,2.0645999999999995,11.469999999999997
1771696800,173211,78,83,6.5,2026-02-21 18:00:00,2.4917999999999996,13.84333333333333
1771653600,173211,56,93,18.0,2026-02-21 06:00:00,10.4896,53.5889885931559
1771668000,173211,69,88,19.5,2026-02-21 10:00:00,10.1934,53.03713307984791
1772589600,173211,63,84,43.9,2026-03-04 02:00:00,23.729400000000002,78.25629657794677
1776852000,173211,49,99,3.7,2026-04-22 10:00:00,3.4442000000000004,19.134444444444444
1776826800,173211,54,95,6.2,2026-04-22 03:00:00,4.357200000000001,24.20666666666667
1778439600,173211,74,87,18.6,2026-05-10 19:00:00,9.2908,51.35548288973384
1778389200,173211,65,92,10.5,2026-05-10 05:00:00,5.7250000000000005,31.805555555555557
1775649600,173211,57,93,14.5,2026-04-08 12:00:00,8.536200000000001,47.42333333333334
1775653200,173211,58,92,26.1,2026-04-08 13:00:00,14.6462,61.333224334600764
1777147200,173211,69,90,7.3,2026-04-25 20:00:00,3.6786000000000003,20.436666666666667
1771023600,173211,66,84,23.4,2026-02-13 23:00:00,12.5292,57.389003802281366
1771012800,173211,65,86,29.5,2026-02-13 20:00:00,15.870999999999999,63.6151711026616
1770958800,173211,56,91,16.7,2026-02-13 05:00:00,9.7954,52.29561216730038
1770966000,173211,46,96,13.9,2026-02-13 07:00:00,9.144200000000001,51.08234980988593
1770944400,173211,75,82,31.0,2026-02-13 01:00:00,15.828000000000003,63.53505703422054
1769954400,173211,65,87,14.2,2026-02-01 14:00:00,7.7008,42.782222222222224
1774285200,173211,61,91,14.1,2026-03-23 17:00:00,7.984999999999999,44.36111111111111
1774566000,173211,68,87,29.9,2026-03-26 23:00:00,15.831399999999999,63.54139163498099
1770494400,173211,61,84,29.9,2026-02-07 20:00:00,16.4222,64.6421216730038
1770487200,173211,59,85,29.5,2026-02-07 18:00:00,16.377399999999998,64.55865399239543
1772463600,173211,50,89,42.5,2026-03-02 15:00:00,24.079,78.90764258555134
1770789600,173211,37,94,23.3,2026-02-11 06:00:00,14.9234,61.84968060836502
1770825600,173211,57,88,44.0,2026-02-11 16:00:00,24.2892,79.29926996197719
1781589600,173211,66,94,7.3,2026-06-16 06:00:00,3.9318,21.843333333333334
1778882400,173211,81,83,10.8,2026-05-15 22:00:00,4.534800000000001,25.193333333333335
1780488000,173211,68,91,2.6,2026-06-03 12:00:00,1.2531999999999996,6.96222222222222
