date,NO2_Density
2022-12-16,1.7853264580486684E-5
2022-12-20,1.0614441634974242E-5
2022-12-27,6.12471201592148E-5
2022-12-29,7.07421820231804E-5
2022-12-30,3.65481137123546E-5
2023-01-01,3.351573832334201E-5
2023-01-03,2.307463364559992E-5
2023-01-04,3.295854548924766E-5
2023-01-05,1.7824596793305818E-5
2023-01-09,3.042340562384228E-5
2023-01-10,2.8120235953620668E-5
2023-01-11,4.026524038637463E-5
2023-01-12,1.657334684217914E-5
2023-01-13,1.0058013140227261E-4
2023-01-14,3.717761137523992E-5
2023-01-20,3.062989708270033E-5
2023-01-26,3.257418939029949E-5
2023-01-28,2.279496766278346E-5
2023-02-04,2.464020488736214E-5
2023-02-05,2.146053906470655E-5
2023-02-08,1.7323207430314438E-5
2023-02-15,3.6823122710219904E-5
2023-02-16,5.8908342907690455E-5
2023-02-17,2.413719530206257E-5
2023-02-21,5.495118966793604E-5
2023-02-22,5.3444076911564044E-5
2023-02-26,1.8886400583854717E-5
2023-02-27,2.132852687226259E-5
2023-03-05,1.2092289398428344E-4
2023-03-06,5.3430470870825514E-5
2023-03-07,8.030453277742544E-5
2023-03-08,4.81983915961042E-5
2023-03-14,1.8659741908783704E-4
2023-03-17,5.285309453030941E-5
2023-03-19,4.3799311242779364E-5
2023-03-20,1.259484415641473E-4
2023-03-21,1.0848673402748345E-4
2023-03-22,1.7565157544891262E-4
2023-03-26,8.170063825702313E-5
2023-03-27,5.7336943527818526E-5
2023-03-30,1.5941900967575797E-4
2023-03-31,1.1717819870686326E-4
2023-04-01,1.2375268852342307E-4
2023-04-02,9.4819202786343E-5
2023-04-06,1.369765258817943E-4
2023-04-09,1.1983552394671621E-4
2023-04-10,4.769282895724011E-5
2023-04-11,7.826083658685335E-5
2023-04-12,2.8115608980351983E-4
2023-04-15,5.975777633808726E-5
2023-04-16,8.857480634397378E-5
2023-04-20,7.04311881592737E-5
2023-04-21,3.6333650661663125E-5
2023-04-25,5.7973204093306026E-5
2023-04-26,7.005177030807825E-5
2023-04-28,9.395377413253791E-5
2023-05-02,7.426080173902585E-6
2023-05-04,1.001884507107532E-5
2023-05-13,2.1117776580680012E-5
2023-05-15,4.195635119687297E-5
2023-05-17,5.8534027732210306E-5
2023-05-18,3.775867160665596E-5
2023-05-19,3.498092333729194E-5
2023-05-20,5.8974759855820986E-5
2023-05-22,3.5639670386456615E-5
2023-05-23,5.730894974589528E-5
2023-05-24,2.994400794969248E-5
2023-05-25,5.521641214460193E-5
2023-05-29,8.80139559740493E-5
2023-05-31,7.183240086308273E-5
2023-06-02,3.811240458163767E-5
2023-06-03,3.114031096862321E-5
2023-06-15,3.7101788097041744E-5
2023-06-20,5.1859493396495E-5
2023-06-24,2.8509117328222066E-5
2023-06-28,3.982895941591282E-5
2023-07-06,4.27273625973754E-5
2023-07-18,4.321712185630148E-5
2023-07-20,2.8568580091824E-5
2023-07-21,2.7676682293540677E-5
2023-07-22,3.600761397618718E-5
2023-07-23,2.8593921779814454E-5
2023-07-27,4.1154216887675855E-5
2023-07-30,2.7213051070608194E-5
2023-08-05,7.836393342588838E-5
2023-08-07,6.850619683975767E-5
2023-08-08,3.187985930709296E-5
2023-08-09,5.50510812900212E-5
2023-08-10,2.4745869448476195E-5
2023-08-12,5.231492761824768E-5
2023-08-14,6.414953531932354E-5
2023-08-15,5.295005795067807E-5
2023-08-16,4.8150974180332545E-5
2023-08-17,4.178884470396032E-5
2023-08-19,3.508780834644388E-5
2023-08-21,3.8710959849558695E-5
2023-08-22,7.69564968976409E-5
2023-08-23,1.1319679470038077E-4
2023-08-24,6.932161079606766E-5
2023-08-25,4.784738843327832E-5
2023-08-26,2.6369784314336646E-5
2023-08-27,2.8195134291318297E-5
2023-08-28,4.316219063470084E-5
2023-09-15,1.1507037925188526E-5
2023-09-17,1.3759612604303551E-5
2023-09-20,5.933943975835216E-5
2023-09-23,3.756035948755536E-5
2023-09-24,1.7915470380109165E-5
2023-09-25,4.1627317006250195E-5
2023-10-08,2.2484757209902646E-5
2023-10-13,4.780217204826609E-5
2023-10-14,4.1570518078529116E-5
2023-10-15,1.8270107830182198E-5
2023-10-16,2.9194817225831158E-5
